"controle";"categoria";"tipo";"calibre";"marca";"quantidade";"origem"
"69593061-2019";1;"revólver";".32";"taurus";1;2
"69593061-2019";1;"pistola";"6,35 mm";"beretta";1;1
"69593061-2019";1;"espingarda";"36";"não identificada";1;2
"70074071-2019";1;"fuzil";"5,56 mm";"indeterminado";1;1
"70074071-2019";1;"fuzil";"7,62";"indeterminado";1;1
"87353351-2019";1;"revólver";".38";"taurus";1;2
"91485381-2019";1;"pistola";".380 auto (9x17 mm)";"taurus";1;2
"96570571-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;1
"98521581-2019";1;"revólver";".38";"rossi";1;2
"98521581-2019";1;"pistola";".380";"taurus";1;2
"99307341-2019";1;"pistola";"9 mm luger (9x19mm)";"canik";1;1
"03547471-2019";1;"pistola";".40 s&w (10 x 22)";"ruger";1;1
"05031451-2019";1;"pistola";"9 mm parabellum (9x19mm)";"taurus";1;2
"29678081-2019";1;"pistola";"9 mm";"taurus";1;2
"29928101-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;2
"33347291-2019";1;"revólver";".38 spl";"rossi";1;2
"34830531-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"34830531-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"39980931-2019";1;"revólver";"32";"taurus";1;2
"41812461-2019";1;"pistola";".40";"taurus";1;2
"42172471-2019";1;"revólver";".38 spl";"rossi";1;1
"42413341-2019";1;"pistola";"9 mm";"bersa";1;1
"43737751-2019";1;"pistola";".380";"não identificada";1;1
"43737751-2019";1;"revólver";".38";"não identificada";1;1
"60167931-2019";1;"pistola";".40";"glock";1;1
"60167931-2019";1;"pistola";".40";"glock";1;1
"68971311-2019";1;"revólver";".38 spl";"taurus";1;2
"71285741-2019";1;"pistola";"9 mm parabellum (9x19mm)";"sarsilmaz";1;1
"75872141-2019";1;"pistola";".40";"glock";1;1
"83971891-2019";1;"revólver";".38";"rossi";1;1
"83971891-2019";1;"revólver";".38";"rossi";1;1
"86552601-2019";1;"revólver";".38";"taurus";1;2
"87772801-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;2
"90772981-2019";1;"pistola";"9 mm";"bersa";1;1
"91282901-2019";1;"pistola";"9 mm luger (9x19mm)";"bersa";1;1
"92056571-2019";1;"pistola";".380";"taurus";1;2
"92473941-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"02837021-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"05245831-2019";1;"pistola";".380 auto (9x17 mm)";"taurus";1;2
"13378361-2019";1;"pistola";".40";"taurus";1;2
"13423971-2019";1;"pistola";"9 mm";"taurus";1;2
"13943421-2019";1;"revólver";".38";"taurus";1;2
"15684201-2019";1;"pistola";"9 mm";"canik";1;1
"25540511-2019";1;"pistola";"9 mm parabellum (9x19mm)";"sarsilmaz";1;1
"26499161-2019";1;"revólver";".32 s&w long";"ina";1;2
"27185121-2019";1;"fuzil";"7,62";"indeterminado";1;1
"27185121-2019";1;"pistola";"9 mm";"taurus";1;2
"28213761-2019";1;"revólver";".38 spl";"taurus";1;2
"30871731-2019";1;"espingarda";"28";"cbc";1;1
"30871731-2019";1;"espingarda";"32";"cbc";1;1
"42076271-2019";1;"pistola";".380";"indeterminado";1;1
"48467921-2019";1;"revólver";".38";"rossi";1;1
"49381721-2019";1;"revólver";".38";"taurus";1;2
"49612751-2019";1;"pistola";".40 s&w (10 x 22)";"taurus";1;2
"49686151-2019";1;"pistola";".380";"taurus";1;2
"50544301-2019";1;"revólver";".38";"indeterminado";1;1
"57025641-2019";1;"pistola";"9 mm luger (9x19mm)";"girsan";1;1
"69335611-2019";1;"revólver";".38";"indeterminado";1;1
"88797941-2019";1;"revólver";".38 spl";"rossi";1;2
"88797941-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"12776721-2019";1;"espingarda";"indeterminado";"indeterminado";1;1
"18812931-2019";1;"espingarda";"36";"não identificada";1;1
"20724471-2019";1;"revólver";".38";"taurus";1;2
"21373491-2019";1;"revólver";".38";"rossi";1;1
"27283421-2019";1;"revólver";".38";"taurus";1;2
"37533121-2019";1;"pistola";".380";"taurus";1;1
"46386261-2019";1;"pistola";"9 mm";"não identificada";1;1
"46386261-2019";1;"fuzil";"5,56 mm";"não identificada";1;1
"46386261-2019";1;"pistola";".380";"taurus";1;2
"50653191-2019";1;"pistola";"9 mm luger (9x19mm)";"s&w";1;1
"59332431-2019";1;"pistola";".380 acp (9x17 mm)";"imbel";1;2
"65387251-2019";1;"pistola";"9 mm";"taurus";1;1
"75069071-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;1
"90946331-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;2
"04919171-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"10446891-2019";1;"pistola";".380";"taurus";1;2
"10446891-2019";1;"revólver";".38";"não identificada";1;1
"18007031-2019";1;"revólver";".38";"indeterminado";1;1
"21231711-2019";1;"pistola";".45 auto";"glock";1;1
"22448111-2019";1;"revólver";".380";"jules kaufmann";1;1
"25424751-2019";1;"revólver";".38";"taurus";1;2
"26285651-2019";1;"pistola";".380 auto (9x17 mm)";"taurus";1;1
