controle;categoria;tipo;calibre;marca;quantidade;origem
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 auto;glock;1;1
13378361-2018;1;fuzil;.223 armalite (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;7,62 mm kalashnikov (7,62x39);não identificada;1;1
13378361-2018;1;fuzil;7,62 mm kalashnikov (7,62x39);s.n. romarm;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;pistola;40;glock;1;1
13378361-2018;1;pistola;40;glock;1;1
13378361-2018;1;pistola;40;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13423971-2018;1;revólver;.32;taurus;1;2
13943421-2018;1;revólver;.38 special (9 x 29,5 mm);não identificada;1;1
25540511-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;1
26499161-2018;1;pistola;9 mm luger (9x19mm);taurus;1;2
28213761-2018;1;pistola;9 mm;indeterminado;1;1
30871731-2018;1;pistola;9 mm;indeterminado;1;1
42076271-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;2
48467921-2018;1;revólver;.38;rossi;1;2
49381721-2018;1;revólver;.38 short;indeterminado;1;1
50544301-2018;1;revólver;.38 spl;rossi;1;2
57025641-2018;1;revólver;.32;taurus;1;1
68971311-2018;1;revólver;.32;s&w;1;1
69335611-2018;1;espingarda;28;indeterminado;1;1
88797941-2018;1;revólver;.32;não identificada;1;1
91282901-2018;1;pistola;6,35 mm;fn;1;1
05245831-2018;1;pistola;9 mm;não identificada;1;1
12776721-2018;1;pistola;.40;indeterminado;1;1
12776721-2018;1;fuzil;7,62;ak;1;1
15684201-2018;1;pistola;9 mm;canik;1;1
18812931-2018;1;pistola;9 mm luger (9x19mm);tara;1;1
20724471-2018;1;revólver;.38;não identificada;1;1
21373491-2018;1;revólver;.32 s&w long;s&w;1;1
21373491-2018;1;revólver;.32 long;indeterminado;1;1
27185121-2018;1;revólver;.38;não identificada;1;1
27283421-2018;1;fuzil;5,56 mm;colt;1;1
37533121-2018;1;espingarda;.32;indeterminado;1;1
46386261-2018;1;carabina;12;indeterminado;1;1
